,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Court St & Nelson St,Court St & Nelson St,Court St,Nelson St,Court St,N.A.,40.67639469999995,-73.99869893000081,0.26402640264018373,0.31823204419879403,cat-5,South Brooklyn,3.495649,-8.277526
Putnam Ave & Throop Ave,Putnam Ave & Throop Ave,Putnam Ave,Throop Ave,N.A.,Putnam Ave,40.68515320000005,-73.94110999999978,-3.3860619469026005,-3.4613686534216868,cat-7,Central Brooklyn,-2.3475072,-1.232207
Graham Ave & Herbert St,Graham Ave & Herbert St,Graham Ave,Herbert St,Herbert St,Graham Ave,40.719293009999305,-73.94500379000083,-5.571587125416272,-5.093468468468473,cat-4,North Brooklyn,-2.2043703,-0.4813389
Union Ave & Jackson St,Union Ave & Jackson St,Union Ave,Jackson St,Jackson St,Union Ave,40.71607510000003,-73.95202899999992,-4.913333333333412,-4.681063122923661,cat-4,North Brooklyn,3.8918731,-11.340347
Lefferts Pl & Franklin Ave,Lefferts Pl & Franklin Ave,Lefferts Pl,Franklin Ave,N.A.,Franklin Ave,40.68034242299954,-73.95576893920078,-3.3210702341136766,-3.351111111111095,cat-5,South Brooklyn,3.8768609,-10.906859
Clinton Ave & Flushing Ave,Clinton Ave & Flushing Ave,Clinton Ave,Flushing Ave,N.A.,Clinton Ave,40.69793999999903,-73.96986848000088,0.3167981961669284,-0.5424476295479508,cat-7,Central Brooklyn,-3.0319326,-1.3852504
Greene Ave & Nostrand Ave,Greene Ave & Nostrand Ave,Greene Ave,Nostrand Ave,N.A.,Greene Ave,40.68833370000027,-73.95091600000114,-5.395715896279626,-5.436860068259421,cat-7,Central Brooklyn,9.9858055,-9.38582
Marcy Ave & Lafayette Ave,Marcy Ave & Lafayette Ave,Marcy Ave,Lafayette Ave,N.A.,Marcy Ave,40.69008150000028,-73.94791499999873,-4.171557562076714,-4.840497737556461,cat-7,Central Brooklyn,-17.431412,10.602468
W 116 St & Amsterdam Ave,W 116 St & Amsterdam Ave,W 116 St,Amsterdam Ave,W 116 St,Amsterdam Ave,40.80675809999963,-73.96070820000021,-2.167235494880515,-2.1412268188303187,cat-9,Upper West Side,-17.537949,10.446361
Frost St & Meeker Ave,Frost St & Meeker Ave,Frost St,Meeker Ave,Frost St,Meeker Ave,40.71766197084051,-73.94880026578903,-4.80114285714285,-4.13294797687854,cat-4,North Brooklyn,5.460678,-0.16486844
Fulton St & Clermont Ave,Fulton St & Clermont Ave,Fulton St,Clermont Ave,Fulton St,Clermont Ave,40.68415747999908,-73.96922272999838,-2.4139908256879608,-2.343181818181847,cat-7,Central Brooklyn,3.731457,-9.686042
Willoughby Ave & Walworth St,Willoughby Ave & Walworth St,Willoughby Ave,Walworth St,Walworth St,Willoughby Ave,40.69331715999986,-73.95381995000066,-2.0264367816091635,-2.370034052213441,cat-7,Central Brooklyn,9.550701,-9.283313
Adam Clayton Powell Blvd & W 118 St,Adam Clayton Powell Blvd & W 118 St,Adam Clayton Powell Blvd,W 118 St,W 118 St,N.A.,40.80437199999938,-73.95147500000121,-0.8824884792627472,-2.8395480225988194,cat-10,Harlem,8.234758,-9.480224
Sharon St & Olive St,Sharon St & Olive St,Sharon St,Olive St,Sharon St,N.A.,40.71535299999965,-73.93856000000083,-3.574394463667886,-3.8296892980438315,cat-4,North Brooklyn,8.851659,-8.308022
Myrtle Ave & Marcy Ave,Myrtle Ave & Marcy Ave,Myrtle Ave,Marcy Ave,N.A.,Myrtle Ave,40.6953981699996,-73.94954908000176,-4.288194444444343,-4.687074829932044,cat-7,Central Brooklyn,8.380496,-2.69419
Ditmars Blvd & 19 St,Ditmars Blvd & 19 St,Ditmars Blvd,19 St,19 St,N.A.,40.78144999999963,-73.91833020000054,-0.9976851851852189,-2.1770833333332575,cat-2,Queens,9.406558,-4.680897
Franklin Ave & Myrtle Ave,Franklin Ave & Myrtle Ave,Franklin Ave,Myrtle Ave,N.A.,Franklin Ave,40.6945460872455,-73.95801365375519,-2.698725376593302,-3.3958333333332575,cat-7,Central Brooklyn,9.839006,-5.135962
Kingston Ave & Herkimer St,Kingston Ave & Herkimer St,Kingston Ave,Herkimer St,Herkimer St,Kingston Ave,40.6789067899999,-73.9414277100004,-4.200696055684375,-4.840579710144993,cat-7,Central Brooklyn,1.6004337,4.834116
Van Brunt St & Wolcott St,Van Brunt St & Wolcott St,Van Brunt St,Wolcott St,Van Brunt St,N.A.,40.67734289999966,-74.01275056000127,1.216027874564361,1.567021276595824,cat-5,South Brooklyn,3.447865,-3.4131591
43 St & Broadway,43 St & Broadway,43 St,Broadway,43 St,N.A.,40.75772839999991,-73.91663680000046,-4.13937282229972,-3.847750865051921,cat-2,Queens,-3.3057153,0.6856245
E 123 St & Lexington Ave,E 123 St & Lexington Ave,E 123 St,Lexington Ave,E 123 St,Lexington Ave,40.8029262999996,-73.93789999999893,-2.541423570595043,-2.6776390465379336,cat-10,Harlem,3.7512093,-10.477039
31 St & Astoria Blvd,31 St & Astoria Blvd,31 St,Astoria Blvd,31 St,N.A.,40.76991759999964,-73.91840570000062,-2.261124121779858,-2.5972222222221717,cat-2,Queens,4.6724706,0.1659348
Eckford St & Engert Ave,Eckford St & Engert Ave,Eckford St,Engert Ave,Eckford St,Engert Ave,40.721462562298065,-73.94800901412964,-3.9599528857479527,-3.918918918918962,cat-4,North Brooklyn,-13.636287,4.0673704
E 106 St & Lexington Ave,E 106 St & Lexington Ave,E 106 St,Lexington Ave,E 106 St,Lexington Ave,40.791976000000375,-73.9459930000008,-1.0176886792453388,-1.3673695893451168,cat-10,Harlem,-15.533974,4.0055943
E 109 St & 3 Ave,E 109 St & 3 Ave,E 109 St,3 Ave,E 109 St,3 Ave,40.79329667999992,-73.94320829999936,-1.6942446043165091,-2.585964912280815,cat-10,Harlem,-14.224084,3.9599762
Kosciuszko St & Nostrand Ave,Kosciuszko St & Nostrand Ave,Kosciuszko St,Nostrand Ave,Kosciuszko St,Nostrand Ave,40.69072548999979,-73.95133465000097,-4.9495798319328514,-5.1310272536686625,cat-7,Central Brooklyn,-14.313873,3.641377
E 106 St & 1 Ave,E 106 St & 1 Ave,E 106 St,1 Ave,E 106 St,1 Ave,40.78925289999925,-73.9395623699985,-5.274909963985692,-4.895486935866984,cat-10,Harlem,-14.527407,3.8915536
28 Ave & 35 St,28 Ave & 35 St,28 Ave,35 St,35 St,28 Ave,40.767100000000156,-73.91698580000075,-2.71807228915668,-1.144721233689097,cat-2,Queens,-14.861899,3.8235478
7 St & 5 Ave,7 St & 5 Ave,7 St,5 Ave,7 St,5 Ave,40.67049219999966,-73.98541675000112,1.622436670687648,0.7117224880382764,cat-5,South Brooklyn,-4.5277,-0.96257913
36 Ave & 31 St,36 Ave & 31 St,36 Ave,31 St,31 St,36 Ave,40.756512729850364,-73.92957486212252,-5.417675544794292,-4.853566958698366,cat-2,Queens,-3.979699,-1.979907
Leonard St & Boerum St,Leonard St & Boerum St,Leonard St,Boerum St,Leonard St,N.A.,40.70583338999943,-73.94644577999907,-4.573333333333267,-4.893157262905106,cat-4,North Brooklyn,4.245024,-0.70338154
6 St & 7 Ave,6 St & 7 Ave,6 St,7 Ave,6 St,7 Ave,40.66866270000085,-73.97988066999872,-0.042475728155295656,-0.650909090909181,cat-5,South Brooklyn,10.377825,-8.251255
Hancock St & Bedford Ave,Hancock St & Bedford Ave,Hancock St,Bedford Ave,Hancock St,Bedford Ave,40.68216563999956,-73.95399026000074,-3.038834951456238,-3.322033898305108,cat-7,Central Brooklyn,3.3764756,-2.2682467
E 67 St & Park Ave,E 67 St & Park Ave,E 67 St,Park Ave,E 67 St,Park Ave,40.76780080148105,-73.96592080593109,3.6670731707317827,3.223456790123464,cat-11,Upper East Side,4.796669,-1.5449063
McKibbin St & Bogart St,McKibbin St & Bogart St,McKibbin St,Bogart St,McKibbin St,N.A.,40.70623699999936,-73.9338710000007,-4.747252747252787,-4.5186074429771,cat-4,North Brooklyn,2.9829028,-2.3064115
35 Ave & 37 St,35 Ave & 37 St,35 Ave,37 St,37 St,35 Ave,40.75573269999968,-73.923661100001,-3.009913258983943,-2.508771929824661,cat-2,Queens,-2.9224946,-2.0236452
3 Ave & E 71 St,3 Ave & E 71 St,3 Ave,E 71 St,E 71 St,3 Ave,40.768736869999664,-73.96119945000062,-0.023602484472121432,-0.155440414507666,cat-11,Upper East Side,7.100059,-6.885067
N 15 St & Wythe Ave,N 15 St & Wythe Ave,N 15 St,Wythe Ave,N 15 St,Wythe Ave,40.7240549999995,-73.95573600000152,-2.798004987531158,-3.4616321559074095,cat-4,North Brooklyn,5.5404797,-8.071277
McKibbin St & Manhattan Ave,McKibbin St & Manhattan Ave,McKibbin St,Manhattan Ave,McKibbin St,Manhattan Ave,40.705109179999404,-73.94407279000005,-5.7381546134663495,-5.95544554455455,cat-4,North Brooklyn,4.096043,-8.5844555
Greene Ave & Throop Ave,Greene Ave & Throop Ave,Greene Ave,Throop Ave,N.A.,Greene Ave,40.68949319999962,-73.94206100000108,-3.4200000000000728,-4.312419974391787,cat-7,Central Brooklyn,5.3562136,-1.0738773
Jackson Ave & 46 Rd,Jackson Ave & 46 Rd,Jackson Ave,46 Rd,N.A.,Jackson Ave,40.7452476799997,-73.94733275999936,-1.672090112640717,-0.267924528301819,cat-2,Queens,5.1868544,-0.6076347
Rogers Ave & Sterling St,Rogers Ave & Sterling St,Rogers Ave,Sterling St,Sterling St,Rogers Ave,40.66306189999957,-73.95387460000146,-4.310301507537588,-3.7025000000001,cat-5,South Brooklyn,4.3785276,-11.764852
Central Ave & Starr Street,Central Ave & Starr Street,Central Ave,Starr Street,Starr Street,Central Ave,40.70000300000083,-73.92833999999904,-6.119346733668408,-5.323308270676762,cat-4,North Brooklyn,5.3694086,-10.12258
6 Ave & 12 St,6 Ave & 12 St,6 Ave,12 St,12 St,6 Ave,40.6663181000003,-73.98546170000039,1.507556675062915,1.5870967741934692,cat-5,South Brooklyn,4.601049,-11.122182
Henry St & Bay St,Henry St & Bay St,Henry St,Bay St,Henry St,N.A.,40.67250580000038,-74.00494695000076,2.0075757575757507,2.088050314465363,cat-5,South Brooklyn,3.807016,3.3741543
Bedford Ave & S 9 St,Bedford Ave & S 9 St,Bedford Ave,S 9 St,S 9 St,Bedford Ave,40.70853074000041,-73.96408962999898,-4.359593392630131,-4.283697047496844,cat-4,North Brooklyn,-3.854765,2.9702406
5 Ave & E 126 St,5 Ave & E 126 St,5 Ave,E 126 St,E 126 St,5 Ave,40.80698000000046,-73.94174699999905,-2.2837150127227233,-2.6071428571428896,cat-10,Harlem,-2.0191848,1.8551928
Vernon Blvd & 30 Rd,Vernon Blvd & 30 Rd,Vernon Blvd,30 Rd,N.A.,N.A.,40.77084499999933,-73.93417100000066,-0.7337579617833399,-1.3206106870229632,cat-2,Queens,-2.1872284,1.5329902
28 Ave & 44 St,28 Ave & 44 St,28 Ave,44 St,44 St,28 Ave,40.76408932350732,-73.9106512069702,-4.710089399744675,-5.034047919293926,cat-2,Queens,-1.6549965,-0.047959793
10 St & 5 Ave,10 St & 5 Ave,10 St,5 Ave,10 St,5 Ave,40.66862730000051,-73.98700053000151,1.043478260869506,-0.35398230088503624,cat-5,South Brooklyn,-1.7933662,0.20011663
E 114 St & 1 Ave,E 114 St & 1 Ave,E 114 St,1 Ave,E 114 St,1 Ave,40.79456629999937,-73.93625410000055,-1.9280205655527425,-2.1050632911392313,cat-10,Harlem,-1.9434677,-0.033084534
Willoughby Ave & Tompkins Ave,Willoughby Ave & Tompkins Ave,Willoughby Ave,Tompkins Ave,N.A.,Willoughby Ave,40.69425403000041,-73.94626915000076,-4.859354838709578,-4.747096774193551,cat-7,Central Brooklyn,9.334829,-8.266682
21 St & 31 Dr,21 St & 31 Dr,21 St,31 Dr,21 St,N.A.,40.76589999999942,-73.93081900000065,-2.574440052700993,-2.9336670838547434,cat-2,Queens,-6.832779,-0.66865224
Frederick Douglass Blvd & W 129 St,Frederick Douglass Blvd & W 129 St,Frederick Douglass Blvd,W 129 St,W 129 St,N.A.,40.81255109999985,-73.94922860000061,-5.9048877146631185,-4.043882978723332,cat-10,Harlem,-5.26836,-1.2700874
Lorimer St & Broadway,Lorimer St & Broadway,Lorimer St,Broadway,Lorimer St,N.A.,40.70411791000059,-73.94818595000065,-4.259946949602181,-4.246052631579005,cat-4,North Brooklyn,-17.91083,8.014218
Coffey St & Conover St,Coffey St & Conover St,Coffey St,Conover St,Coffey St,N.A.,40.67723599999972,-74.0156649999994,1.5420560747663785,1.555137844611636,cat-5,South Brooklyn,-18.69263,7.363207
Amsterdam Ave & W 125 St,Amsterdam Ave & W 125 St,Amsterdam Ave,W 125 St,W 125 St,Amsterdam Ave,40.81335799999962,-73.95646100000107,0.6930294906167092,1.135593220338933,cat-10,Harlem,6.865453,-0.17261447
7 St & 3 Ave,7 St & 3 Ave,7 St,3 Ave,7 St,3 Ave,40.672602981500745,-73.98983001708984,0.6335570469798313,-0.39164490861617196,cat-5,South Brooklyn,4.145389,-1.4312799
Morningside Ave & W 123 St,Morningside Ave & W 123 St,Morningside Ave,W 123 St,W 123 St,Morningside Ave,40.81000000000051,-73.95515080000037,2.214092140921366,1.007444168734537,cat-10,Harlem,-3.3406835,-1.6293664
Astoria Park S & Shore Blvd,Astoria Park S & Shore Blvd,Astoria Park S,Shore Blvd,N.A.,N.A.,40.77669999999946,-73.9276309999991,-0.3419267299864259,-1.3091397849461828,cat-2,Queens,-2.8113186,-2.12398
Fulton St & Grand Ave,Fulton St & Grand Ave,Fulton St,Grand Ave,Fulton St,Grand Ave,40.68223166000023,-73.96145830000022,-3.099863201094422,-2.6974219810040267,cat-7,Central Brooklyn,-4.7919602,-1.6501646
Degraw St & Hoyt St,Degraw St & Hoyt St,Degraw St,Hoyt St,Degraw St,N.A.,40.681990442706656,-73.99079024791719,-0.11796982167356873,-0.5306957708048685,cat-5,South Brooklyn,5.6986713,-7.1112294
Adam Clayton Powell Blvd & W 115 St,Adam Clayton Powell Blvd & W 115 St,Adam Clayton Powell Blvd,W 115 St,W 115 St,N.A.,40.802534999999665,-73.95324229999879,0.5034293552812414,-1.0533854166667425,cat-10,Harlem,4.8415127,5.424429
2 Ave & E 122 St,2 Ave & E 122 St,2 Ave,E 122 St,E 122 St,2 Ave,40.800672099999325,-73.93490000000018,-1.885832187070264,-2.2483039348710463,cat-10,Harlem,4.0841565,6.6456537
31 Ave & Crescent St,31 Ave & Crescent St,31 Ave,Crescent St,Crescent St,31 Ave,40.7658345999997,-73.92654739999905,-2.138121546961429,-1.6261937244200908,cat-2,Queens,9.846916,-7.3916764
Vernon Blvd & 31 Ave,Vernon Blvd & 31 Ave,Vernon Blvd,31 Ave,N.A.,31 Ave,40.76924750000028,-73.93545040000024,-1.6199722607489093,-0.7102040816325825,cat-2,Queens,10.686437,-8.637547
Union Ave & Wallabout St,Union Ave & Wallabout St,Union Ave,Wallabout St,Wallabout St,Union Ave,40.70029511000025,-73.95032283000126,-6.339410939691334,-5.905898876404535,cat-4,North Brooklyn,7.9259706,-1.5803453
Broadway & W 122 St,Broadway & W 122 St,Broadway,W 122 St,W 122 St,N.A.,40.812056200000306,-73.96125469999973,-2.179775280898866,-0.5154494382022676,cat-9,Upper West Side,-6.8722196,6.337761
3 St & Hoyt St,3 St & Hoyt St,3 St,Hoyt St,3 St,N.A.,40.67772870000038,-73.99364123000078,-0.18539325842698418,-1.0581717451523218,cat-5,South Brooklyn,-4.7294054,-1.2792528
Park Ave & Marcus Garvey Blvd,Park Ave & Marcus Garvey Blvd,Park Ave,Marcus Garvey Blvd,N.A.,Park Ave,40.69861699999923,-73.94134199999883,-5.270155586987357,-4.786019971469386,cat-7,Central Brooklyn,10.558104,-8.464533
31 Ave & 30 St,31 Ave & 30 St,31 Ave,30 St,30 St,31 Ave,40.76469999999977,-73.92403119999882,-1.2816500711237495,-1.978813559322134,cat-2,Queens,-7.245032,0.97721523
E 116 St & 2 Ave,E 116 St & 2 Ave,E 116 St,2 Ave,E 116 St,2 Ave,40.79687900000051,-73.93726099999927,-3.068376068375983,-4.921409214092137,cat-10,Harlem,7.9699106,-0.9928831
Amsterdam Ave & W 119 St,Amsterdam Ave & W 119 St,Amsterdam Ave,W 119 St,W 119 St,Amsterdam Ave,40.80862490000048,-73.9596213999994,-4.008583690987052,-3.6145092460881187,cat-9,Upper West Side,7.404867,-2.822508
Crescent St & 30 Ave,Crescent St & 30 Ave,Crescent St,30 Ave,Crescent St,30 Ave,40.76869200000048,-73.92495739999914,-1.83620689655163,-3.341074020319411,cat-2,Queens,8.116868,-4.0548286
E 118 St & Madison Ave,E 118 St & Madison Ave,E 118 St,Madison Ave,E 118 St,Madison Ave,40.80148660000039,-73.94425069999906,-1.3850574712644175,-1.988764044943764,cat-10,Harlem,9.454872,-8.2791395
35 St & Broadway,35 St & Broadway,35 St,Broadway,35 St,N.A.,40.76033900000032,-73.92224269999915,-3.7812949640288025,-3.2798833819242645,cat-2,Queens,8.379539,-7.7055163
W 40 St & 5 Ave,W 40 St & 5 Ave,W 40 St,5 Ave,W 40 St,5 Ave,40.75226900000032,-73.98207900000078,0.23691860465123682,-1.2625786163521298,cat-12,Midtown,3.2871118,-1.1726269
Pleasant Ave & E 120 St,Pleasant Ave & E 120 St,Pleasant Ave,E 120 St,E 120 St,Pleasant Ave,40.79747720000055,-73.93118469999943,-5.145560407569064,-4.0813953488373045,cat-10,Harlem,3.7928,-0.95338786
Newton Rd & 44 St,Newton Rd & 44 St,Newton Rd,44 St,44 St,N.A.,40.75957009999937,-73.91426779999938,-4.508746355685162,-3.9783549783549006,cat-2,Queens,6.598014,-2.820275
E 97 St & 3 Ave,E 97 St & 3 Ave,E 97 St,3 Ave,E 97 St,3 Ave,40.785920099999466,-73.94860293999959,-0.9823529411764866,0.4777265745008208,cat-10,Harlem,7.025721,-9.208127
Humboldt St & Varet St,Humboldt St & Varet St,Humboldt St,Varet St,Humboldt St,N.A.,40.70317240000051,-73.94063599999949,-6.21796759941094,-5.216438356164417,cat-4,North Brooklyn,10.670805,-8.381956
24 Ave & 26 St,24 Ave & 26 St,24 Ave,26 St,26 St,24 Ave,40.77459100000037,-73.9185440000001,-1.3598820058996353,-1.5604075691412618,cat-2,Queens,5.782442,-9.168907
49 Ave & 21 St,49 Ave & 21 St,49 Ave,21 St,21 St,49 Ave,40.74251999999981,-73.94885200000087,1.0343283582089953,1.9563253012047426,cat-2,Queens,-6.845691,1.3949579
9 St & 44 Rd,9 St & 44 Rd,9 St,44 Rd,9 St,N.A.,40.749660000000425,-73.9521000000004,-0.24887556221892737,0.06578947368416266,cat-2,Queens,-7.4791083,0.7434068
3 Ave & Carroll St,3 Ave & Carroll St,3 Ave,Carroll St,Carroll St,3 Ave,40.67702700000049,-73.98649999999952,-1.2680722891566347,-1.066473988439384,cat-5,South Brooklyn,3.9967663,-10.716847
24 St & 41 Ave,24 St & 41 Ave,24 St,41 Ave,24 St,41 Ave,40.75270850000014,-73.93974049999998,-3.5361445783132694,-4.057838660578454,cat-2,Queens,3.5429878,-11.315848
Lewis Ave & Decatur St,Lewis Ave & Decatur St,Lewis Ave,Decatur St,Decatur St,Lewis Ave,40.681459799999374,-73.93490300000072,-1.5083713850838194,-1.865102639296083,cat-7,Central Brooklyn,2.669113,4.9530425
Vernon Blvd & 41 Rd,Vernon Blvd & 41 Rd,Vernon Blvd,41 Rd,N.A.,N.A.,40.755243299999364,-73.94856779999888,2.778963414634063,2.1606606606605965,cat-2,Queens,3.8432167,5.8918123
Willoughby Ave & Wyckoff Ave,Willoughby Ave & Wyckoff Ave,Willoughby Ave,Wyckoff Ave,N.A.,Willoughby Ave,40.705613999999656,-73.92152999999966,-4.228658536585272,-5.455474452554654,cat-4,North Brooklyn,2.7391734,4.414934
W 129 St & Convent Ave,W 129 St & Convent Ave,W 129 St,Convent Ave,W 129 St,Convent Ave,40.81439443791554,-73.95324736833571,0.4916030534350284,0.5288753799391088,cat-10,Harlem,1.7519897,4.173064
Hart St & Wyckoff Ave,Hart St & Wyckoff Ave,Hart St,Wyckoff Ave,Hart St,Wyckoff Ave,40.70487599999981,-73.91991099999959,-3.457098283931373,-3.9669291338582298,cat-4,North Brooklyn,0.878556,3.7254577
Vernon Blvd & 10 St,Vernon Blvd & 10 St,Vernon Blvd,10 St,10 St,N.A.,40.76718629999967,-73.93735539999966,-2.123613312202906,-1.8407643312102664,cat-2,Queens,1.4420631,2.685445
5 St & 6 Ave,5 St & 6 Ave,5 St,6 Ave,5 St,6 Ave,40.67048359999986,-73.98208968000058,2.4342313787637977,1.6693548387097508,cat-5,South Brooklyn,9.288858,-5.2983756
24 Ave & 29 St,24 Ave & 29 St,24 Ave,29 St,29 St,24 Ave,40.77289999999994,-73.91614199999992,-2.9952305246422384,-3.20775193798454,cat-2,Queens,-4.068799,2.5332978
Marcus Garvey Blvd & Macon St,Marcus Garvey Blvd & Macon St,Marcus Garvey Blvd,Macon St,Macon St,N.A.,40.68260100000035,-73.93803699999991,-1.3365384615385665,-2.497667185069986,cat-7,Central Brooklyn,-16.305544,5.401312
Lexington Ave & E 120 St,Lexington Ave & E 120 St,Lexington Ave,E 120 St,E 120 St,Lexington Ave,40.801306599999606,-73.939816700001,-3.493589743589837,-2.8984375,cat-10,Harlem,-16.170774,6.1031485
Steinway St & 23 Ave,Steinway St & 23 Ave,Steinway St,23 Ave,Steinway St,23 Ave,40.77139370000049,-73.90774360000053,-2.446945337620491,-1.9118110236220218,cat-2,Queens,-15.927908,6.0626264
E 115 St & Madison Ave,E 115 St & Madison Ave,E 115 St,Madison Ave,E 115 St,Madison Ave,40.798944499999585,-73.94484599999913,-2.5128617363343437,-3.178517397881933,cat-10,Harlem,-16.215668,5.336758
E 128 St & Madison Ave,E 128 St & Madison Ave,E 128 St,Madison Ave,E 128 St,Madison Ave,40.807560000000194,-73.93918199999992,-1.7605863192181914,-2.772151898734137,cat-10,Harlem,-15.191723,7.7421703
Central Ave & Flushing Ave,Central Ave & Flushing Ave,Central Ave,Flushing Ave,N.A.,Central Ave,40.70283099999966,-73.93329999999946,-4.429037520391603,-4.933753943217653,cat-4,North Brooklyn,-16.073875,6.2000647
12 St & 4 Ave,12 St & 4 Ave,12 St,4 Ave,12 St,4 Ave,40.668602999999464,-73.99043939999946,-1.1079734219269994,-1.5915032679738488,cat-5,South Brooklyn,-7.682176,1.6294525
Suydam St & Knickerbocker Ave,Suydam St & Knickerbocker Ave,Suydam St,Knickerbocker Ave,Suydam St,Knickerbocker Ave,40.70201299999947,-73.92376900000073,-5.415282392026484,-5.383411580594611,cat-4,North Brooklyn,-16.449179,6.753622
White St & Moore St,White St & Moore St,White St,Moore St,White St,N.A.,40.704507999999834,-73.93510000000028,-3.617696160267087,-4.243902439024396,cat-4,North Brooklyn,-16.92887,5.3687644
Lexington Ave & E 127 St,Lexington Ave & E 127 St,Lexington Ave,E 127 St,E 127 St,Lexington Ave,40.80572599999968,-73.93632200000074,-2.348993288590691,-1.9293563579278725,cat-10,Harlem,-16.904379,6.163352
E 98 St & Park Ave,E 98 St & Park Ave,E 98 St,Park Ave,E 98 St,Park Ave,40.78813000000051,-73.95206000000056,-5.901360544217596,-4.906779661017026,cat-10,Harlem,-16.738388,4.8593855
2 Ave & 36 St - Citi Bike HQ at Industry City,2 Ave & 36 St - Citi Bike HQ at Industry City,2 Ave,36 St - Citi Bike HQ at Industry City,36 St - Citi Bike HQ at Industry City,2 Ave,40.65708866668499,-74.00870203971863,-2.2725724020442613,-1.2840909090909918,cat-5,South Brooklyn,-16.528133,4.567074
Stuyvesant Walk & 1 Av Loop,Stuyvesant Walk & 1 Av Loop,Stuyvesant Walk,1 Av Loop,N.A.,N.A.,40.732339777150706,-73.97898383438587,2.100682593856618,2.1324278438030433,cat-12,Midtown,-18.197454,7.077614
Tompkins Ave & Hopkins St,Tompkins Ave & Hopkins St,Tompkins Ave,Hopkins St,Hopkins St,Tompkins Ave,40.699576079999474,-73.94708417000008,-4.564846416382352,-4.28125,cat-7,Central Brooklyn,-6.8007,1.485172
Park Ave & St Edwards St,Park Ave & St Edwards St,Park Ave,St Edwards St,St Edwards St,Park Ave,40.696089410000155,-73.97803415000072,2.4811643835616906,0.7875210792581129,cat-7,Central Brooklyn,-7.3158426,2.1158597
Pulaski St & Marcus Garvey Blvd,Pulaski St & Marcus Garvey Blvd,Pulaski St,Marcus Garvey Blvd,Pulaski St,N.A.,40.693398200000004,-73.9398769999997,-3.226643598615965,-3.626297577854757,cat-7,Central Brooklyn,-5.317029,3.3770123
28 St & 38 Ave,28 St & 38 Ave,28 St,38 Ave,28 St,38 Ave,40.75487600000001,-73.9343260000001,-1.5605536332179781,-0.417241379310326,cat-2,Queens,-7.752911,2.8729885
31 St & Thomson Ave,31 St & Thomson Ave,31 St,Thomson Ave,31 St,Thomson Ave,40.74469737999977,-73.9354037500009,-1.2638888888889142,-0.9189189189189619,cat-2,Queens,-7.6106324,2.9339337
Dock 72 Way & Market St,Dock 72 Way & Market St,Dock 72 Way,Market St,Market St,N.A.,40.69985000000056,-73.97140999999898,-1.6347826086955592,-2.183848797250903,cat-7,Central Brooklyn,-6.726719,3.506309
34 St & 35 Ave,34 St & 35 Ave,34 St,35 Ave,34 St,35 Ave,40.75693319999967,-73.9262231000003,-3.951134380453823,-2.971731448763194,cat-2,Queens,-8.113818,3.3625045
Union St & Bedford Ave,Union St & Bedford Ave,Union St,Bedford Ave,Union St,Bedford Ave,40.66917829999979,-73.95541619999925,-5.102112676056322,-4.811287477954238,cat-5,South Brooklyn,-7.77511,4.420075
31 St & Northern Blvd,31 St & Northern Blvd,31 St,Northern Blvd,31 St,N.A.,40.75186951421838,-73.93349289894103,-1.620141342756142,-2.181003584229302,cat-2,Queens,-6.261325,3.380225
27 Ave & 9 St,27 Ave & 9 St,27 Ave,9 St,9 St,27 Ave,40.77398249999997,-73.93091339999961,-2.385996409335803,-1.161120840630474,cat-2,Queens,-7.8947935,3.2062886
Powers St & Olive St,Powers St & Olive St,Powers St,Olive St,Powers St,N.A.,40.71323000000015,-73.93894,-4.059245960502722,-4.390109890109898,cat-4,North Brooklyn,-7.8242617,3.8723774
Knickerbocker Ave & Thames St,Knickerbocker Ave & Thames St,Knickerbocker Ave,Thames St,Thames St,Knickerbocker Ave,40.7053899999995,-73.92975999999963,-3.625225225225222,-3.088235294117567,cat-4,North Brooklyn,-7.755748,3.2969615
Broadway & 12 St,Broadway & 12 St,Broadway,12 St,12 St,N.A.,40.76680000000018,-73.93477740000017,-2.1660649819493756,-1.7396021699819357,cat-2,Queens,-7.271383,3.3343053
3 Ave & E 100 St,3 Ave & E 100 St,3 Ave,E 100 St,E 100 St,3 Ave,40.7877214,-73.94728331000061,-3.3016453382083455,-4.288851351351241,cat-10,Harlem,-7.699558,3.7259483
Madison Ave & E 120 St,Madison Ave & E 120 St,Madison Ave,E 120 St,E 120 St,Madison Ave,40.802950000000074,-73.94295399999902,1.2939001848428688,1.1844827586207884,cat-10,Harlem,-7.6107373,4.011622
Putnam Ave & Nostrand Ave,Putnam Ave & Nostrand Ave,Putnam Ave,Nostrand Ave,N.A.,Putnam Ave,40.68402000000033,-73.94976999999943,-5.470260223048399,-4.0,cat-7,Central Brooklyn,-8.544775,4.9205437
Nostrand Ave & Myrtle Ave,Nostrand Ave & Myrtle Ave,Nostrand Ave,Myrtle Ave,N.A.,Nostrand Ave,40.69527007999964,-73.95238107999968,-4.426443202979499,-2.8270676691729477,cat-7,Central Brooklyn,-8.358976,3.8642159
28 St & 36 Ave,28 St & 36 Ave,28 St,36 Ave,28 St,36 Ave,40.75718599999996,-73.93271899999971,-1.9379699248120232,-2.621722846442026,cat-2,Queens,-8.627238,4.111736
