,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Madison St & Clinton St,Madison St & Clinton St,Madison St,Clinton St,Madison St,N.A.,40.71269041999862,-73.98776322999873,0.4176136363637397,0.04843304843302576,cat-8,Lower Manhattan,-17.539888,9.667572
Dean St & 4 Ave,Dean St & 4 Ave,Dean St,4 Ave,Dean St,4 Ave,40.68312488999889,-73.97895136999678,-1.7835093419982968,-1.11821862348188,cat-5,South Brooklyn,-17.435894,9.6335335
E 84 St & 1 Ave,E 84 St & 1 Ave,E 84 St,1 Ave,E 84 St,1 Ave,40.775655410001264,-73.95068614999818,0.23856209150335417,-0.5736778360919743,cat-11,Upper East Side,-17.573532,10.923981
3 Ave & E 62 St,3 Ave & E 62 St,3 Ave,E 62 St,E 62 St,3 Ave,40.763125840002196,-73.9652689500045,-0.8887977020926883,0.12061403508778312,cat-11,Upper East Side,-17.971096,9.926855
E 47 St & 1 Ave,E 47 St & 1 Ave,E 47 St,1 Ave,E 47 St,1 Ave,40.752068620000436,-73.96784383999673,0.5364735306377497,0.555647840531492,cat-11,Upper East Side,-18.147455,9.845177
John St & William St,John St & William St,John St,William St,John St,N.A.,40.708621440000435,-74.00722155999652,-1.1053745239103137,-0.8363868768640259,cat-8,Lower Manhattan,-18.485462,8.960329
Soissons Landing,Soissons Landing,Soissons Landing,Soissons Landing,N.A.,N.A.,40.69231660719286,-74.01486575603484,2.561358811040236,2.955602536997958,cat-1,Governors Island,-18.432882,9.121077
Huron St & Franklin St,Huron St & Franklin St,Huron St,Franklin St,Huron St,N.A.,40.7326599999989,-73.95826000000302,-2.882729211087508,-2.665006226650121,cat-4,North Brooklyn,-6.2575383,-1.0287471
Hicks St & Montague St,Hicks St & Montague St,Hicks St,Montague St,Hicks St,N.A.,40.69512844999937,-73.99595064999806,3.5076988879384317,2.8177128116938093,cat-5,South Brooklyn,-6.1235456,-0.65269554
DeKalb Ave & Hudson Ave,DeKalb Ave & Hudson Ave,DeKalb Ave,Hudson Ave,N.A.,DeKalb Ave,40.68988799999846,-73.98101300000106,-0.2937901498928568,-1.6843737882900314,cat-7,Central Brooklyn,-18.323378,9.916838
7 Ave & Park Pl,7 Ave & Park Pl,7 Ave,Park Pl,N.A.,7 Ave,40.6776147000008,-73.97324282999917,-0.0685224839401144,-0.4310712761416653,cat-5,South Brooklyn,-19.07092,7.7789173
W 100 St & Broadway,W 100 St & Broadway,W 100 St,Broadway,W 100 St,N.A.,40.797372100001354,-73.97041191999907,3.2320892320892654,2.9725439725439173,cat-9,Upper West Side,-6.6207266,-1.2260879
Riverside Dr & W 82 St,Riverside Dr & W 82 St,Riverside Dr,W 82 St,W 82 St,N.A.,40.787208690001435,-73.9812812700007,3.3019354838709205,2.5879025239339626,cat-9,Upper West Side,-6.5715456,6.0294166
31 St & Newtown Ave,31 St & Newtown Ave,31 St,Newtown Ave,31 St,Newtown Ave,40.76754877999939,-73.92093345522879,-2.6380129589633725,-3.0788903337668216,cat-2,Queens,-7.1567283,2.4829614
W 78 St & Broadway,W 78 St & Broadway,W 78 St,Broadway,W 78 St,N.A.,40.78339980999975,-73.98093133000383,3.4301168325400795,3.6313405797102405,cat-9,Upper West Side,-7.038632,5.934366
E 91 St & 2 Ave,E 91 St & 2 Ave,E 91 St,2 Ave,E 91 St,2 Ave,40.781122299342954,-73.94965589046478,-1.3914174252274734,-0.9476130122518498,cat-10,Harlem,-6.994317,4.9071436
Duffield St & Willoughby St,Duffield St & Willoughby St,Duffield St,Willoughby St,Duffield St,N.A.,40.692215889998884,-73.98428439999994,-1.1991169977925438,-0.3368146214099852,cat-7,Central Brooklyn,-6.9509935,6.1354246
Madison St & Montgomery St,Madison St & Montgomery St,Madison St,Montgomery St,Madison St,N.A.,40.71312600000133,-73.98484400000021,-0.5932203389829738,1.0567470956211764,cat-8,Lower Manhattan,-5.4946012,-1.1460156
Lafayette Ave & Fort Greene Pl,Lafayette Ave & Fort Greene Pl,Lafayette Ave,Fort Greene Pl,N.A.,Lafayette Ave,40.68691864999833,-73.97668199999906,-0.7783735478105882,-0.3923657345760603,cat-7,Central Brooklyn,-5.7065234,-1.4802161
Metropolitan Ave & Meeker Ave,Metropolitan Ave & Meeker Ave,Metropolitan Ave,Meeker Ave,N.A.,Metropolitan Ave,40.71413310999932,-73.95234386000078,-4.688480502017001,-3.9320214669050984,cat-4,North Brooklyn,-5.5208044,-1.7696284
Frederick Douglass Blvd & W 112 St,Frederick Douglass Blvd & W 112 St,Frederick Douglass Blvd,W 112 St,W 112 St,N.A.,40.80169399999924,-73.95714499999592,0.5682226211849866,0.08880308880316079,cat-10,Harlem,-5.3382835,-2.007124
Frederick Douglass Blvd & W 117 St,Frederick Douglass Blvd & W 117 St,Frederick Douglass Blvd,W 117 St,W 117 St,N.A.,40.80515899999989,-73.95469199999938,-1.5688487584650375,-1.5394280762563994,cat-10,Harlem,-6.80059,6.3104434
Cadman Plaza West & Montague St,Cadman Plaza West & Montague St,Cadman Plaza West,Montague St,Montague St,N.A.,40.69382999999983,-73.99053900000015,1.624830699774293,1.9752179899035127,cat-5,South Brooklyn,-6.618831,6.876051
Water - Whitehall Plaza,Water - Whitehall Plaza,Water - Whitehall Plaza,Water - Whitehall Plaza,N.A.,N.A.,40.70255065000152,-74.01272339999782,-0.03884372177049045,-0.08473926380361263,cat-8,Lower Manhattan,-7.4262085,5.775218
Broadway & Roebling St,Broadway & Roebling St,Broadway,Roebling St,Roebling St,N.A.,40.70924826276283,-73.96063148975372,-3.5047489823609794,-3.381190368014586,cat-4,North Brooklyn,-7.0928826,6.9030557
E 81 St & York Ave,E 81 St & York Ave,E 81 St,York Ave,E 81 St,York Ave,40.77283839999825,-73.94989233000129,-0.9021937842778698,-1.176415535797787,cat-11,Upper East Side,-8.158188,6.1899347
Riverside Dr & W 78 St,Riverside Dr & W 78 St,Riverside Dr,W 78 St,W 78 St,N.A.,40.784144720000306,-73.98362491999869,3.5777166437414962,2.3644222020018333,cat-9,Upper West Side,-7.739462,7.21582
Henry St & Atlantic Ave,Henry St & Atlantic Ave,Henry St,Atlantic Ave,Henry St,Atlantic Ave,40.69089271999871,-73.99612348999987,-0.09225776541484265,0.41443108233124804,cat-5,South Brooklyn,-7.3293505,6.6501412
